id,voteup_count,comment_count,question,totals,people,classfy,business,location,follow,following,answer_count,pins_count,articles_count,goods,pub,ffzx_if,ffzx,sign
0a03cfb5c2df4572fbeb77388d85f852,1560,60,429989818,117,0a03cfb5c2df4572fbeb77388d85f852,False,酒店,青森市,2872,40,278,3,26,0,False,True,1,"{'古灵精怪', '做题家', '低调学神', '从不炫富'}"
dfd0dc896035f42dd1a9c70a69fb61fa,1941,533,430061790,389,dfd0dc896035f42dd1a9c70a69fb61fa,True,金融,,1179,20,176,0,1,0,False,False,0,"{'中二', '吃货', '暖男', '耿直', '金融从业者'}"
fee6b5855017a9f525af8b3d545c7702,2398,82,429951164,172,fee6b5855017a9f525af8b3d545c7702,False,非营利组织,黑龙江省,17633,351,1195,251,1,1,False,True,3,"{'180 150', '坚定的lpl粉丝', '认真讲道理', '铁直男', '知乎lol版块第三靓的仔', '耿直', '英雄联盟（LoL）', 'LPL', '游戏玩家', '28岁之前不能谈恋爱', '阿拉斯加痴迷者', '娱乐圈蹭热度怪'}"
de2c071301e777617db11e85724b5156,4340,343,430020968,627,de2c071301e777617db11e85724b5156,False,,,57,0,4,0,0,0,False,False,0,
cb43beb73af1bc4582f4aa74b613fe64,5,0,35504318,137,cb43beb73af1bc4582f4aa74b613fe64,False,,,2,53,7,0,0,0,False,False,0,
a22e8c9c267b018246d50dc6d8178add,9003,1621,317839862,916,a22e8c9c267b018246d50dc6d8178add,False,,,14392,0,83,1,0,0,False,False,0,"{'利他主义者', '前抑郁患者', '猫控', '圣母心', 'Observer', 'Masker'}"
d8fb7ef948c121c5147d89c7d8cb1b42,417,27,429290428,65,d8fb7ef948c121c5147d89c7d8cb1b42,False,,,50,1,5,0,0,0,False,False,0,"{'不合格死宅', '狂躁', '普通人'}"
5c617021812855de06aafafcf6a6b5f8,374,90,402959527,241,5c617021812855de06aafafcf6a6b5f8,False,计算机硬件,北京市,6980,0,93,10,13,0,False,True,84,{'假货杀手'}
1582c2edd55e6d74c5126d8b81d1801c,1024,39,429893227,235,1582c2edd55e6d74c5126d8b81d1801c,False,职业教育,北京市海淀区,25,71,21,0,0,1,False,False,0,
eb67c87bde5ed3b991f942e7d4b81838,647,4,429875202,92,eb67c87bde5ed3b991f942e7d4b81838,False,制造加工,上海,95707,2670,4437,1932,50,38,False,False,240,"{'人工智能', '硬核', '可爱', '稳定输出', '中国海军', '核武器', '爱猫', '科幻', '小肉腹', '古灵精怪', ""百合 (Girl's love)"", '科幻创作', '精神病人', 'AI', '游戏玩家', '游戏王', '科学', '大魔王', '冷门问题收割机', '幻想杀手', '多能型答主', '科普', '有趣的人', '反素食主义', '萌妹子', '猫猫', '人形自走图书馆', '科幻小说'}"
b55d6626c7aa31908dad529365bb7080,1381,129,314790765,177,b55d6626c7aa31908dad529365bb7080,False,机械设备,上海市,13031,168,138,153,16,0,False,False,0,"{'有点皮', '萌', '军事迷', '唐朝'}"
8c26ae1e4438ad896633419bf4c0c400,6614,140,303630365,200,8c26ae1e4438ad896633419bf4c0c400,False,政府,湖南省,113,0,15,0,0,0,False,False,0,"{'吃货', '暖男'}"
53dfde9b5385620c95041c0ea394b606,1380,171,416777319,83,53dfde9b5385620c95041c0ea394b606,False,,河北石家庄,96,59,40,0,0,0,False,False,0,"{'冷兵器', '历史', '知乎友善度', '英语'}"
561c78382be455f312b350d2bfd550bb,1152,56,429810758,144,561c78382be455f312b350d2bfd550bb,True,计算机软件,Singapore,50306,4528,10350,109,22,4,False,True,44,"{'一本正经地开车', '正能量', '理性思考', '博闻强识', '一句话的老司机'}"
c82cc8968c08320c0dee26f2aab15ae1,608,132,379028323,56,c82cc8968c08320c0dee26f2aab15ae1,False,创意艺术,,33,30,10,1,0,0,False,False,0,"{'捞的一批', '绘画爱好者', '憨熊'}"
ac96cb7be49623aca85e41631e21b1e3,504,0,429779098,81,ac96cb7be49623aca85e41631e21b1e3,True,,,2205124,0,356,179,590,0,False,False,0,
6d443177eca4f4f098b4a4b63046b4b0,4835,503,430039290,885,6d443177eca4f4f098b4a4b63046b4b0,True,互联网,北京市,1007505,1135,1558,949,146,46,True,False,0,"{'巴克利', '抽象带师', '天津姑爷', '也是一个胖子'}"
58e273e56d623f5a587f9740cf9f2256,2307,136,430037790,445,58e273e56d623f5a587f9740cf9f2256,True,互联网,山东省淄博市,1120971,25,47,17,2,2,False,False,0,"{'自媒体', '劳力士(Rolex)', '创业青年', '有钱人'}"
dfc3967d066d83ccad345e0beb7769d5,11531,207,25151940,676,dfc3967d066d83ccad345e0beb7769d5,False,互联网,北京,66070,75,690,2061,81,0,True,True,14,"{'答疑解惑', '连续创业者', '文字起家', '布道师', '大叔'}"
